QuestionID,Question,Difficulty,Answer
Ques_15,What is logistic regression? State an example when you have used logistic regression recently.,Easy,Logistic Regression often referred as logit model is a technique to predict the binary outcome from a linear combination of predictor variables. For example  if you want to predict whether a particular political leader will win the election or not. In this case  the outcome of prediction is binary i.e. 0 or 1 (Win/Lose). The predictor variables here would be the amount of money spent for election campaigning of a particular candidate  the amount of time spent in campaigning  etc.
Ques_16,What are Recommender Systems?,Medium,Recommender Systems are a subclass of information filtering systems that are meant to predict the preferences or ratings that a user would give to a product. Recommender systems are widely used in movies  news  research articles  products  social tags  music  etc. Examples include movie recommenders in IMDB  Netflix & BookMyShow  product recommenders in e-commerce sites like Amazon  eBay & Flipkart  YouTube video recommendations and game recommendations in Xbox.
Ques_17,What is Collaborative filtering?,Medium,Like many machine learning techniques  a recommender system makes prediction based on usersâ€™ historical behaviors. Specifically  itâ€™s to predict user preference for a set of items based on past experience. To build a recommender system  the most two popular approaches are Content-based and Collaborative Filtering. Content-based approach requires a good amount of information of itemsâ€™ own features  rather than using usersâ€™ interactions and feedbacks. For example  it can be movie attributes such as genre  year  director  actor etc.  or textual content of articles that can extracted by applying Natural Language Processing. Collaborative Filtering  on the other hand  doesnâ€™t need anything else except usersâ€™ historical preference on a set of items. Because itâ€™s based on historical data  the core assumption here is that the users who have agreed in the past tend to also agree in the future. In terms of user preference  it usually expressed by two categories. Explicit Rating  is a rate given by a user to an item on a sliding scale  like 5 stars for Titanic. This is the most direct feedback from users to show how much they like an item. Implicit Rating  suggests users preference indirectly  such as page views  clicks  purchase records  whether or not listen to a music track  and so on. In this article  I will take a close look at collaborative filtering that is a traditional and powerful tool for recommender systems.
Ques_18,How can outlier values be treated?,Medium,Outlier values can be identified by using univariate or any other graphical analysis method. If the number of outlier values is few then they can be assessed individually but for a large number of outliers  the values can be substituted with either the 99th or the 1st percentile values. All extreme values are not outlier values. The most common ways to treat outlier values can be: 1. To change the value and bring in within a range. 2. To just remove the value.
Ques_19,During analysis  how do you treat missing values?,Medium,The extent of the missing values is identified after identifying the variables with missing values. If any patterns are identified the analyst has to concentrate on them as it could lead to interesting and meaningful business insights. If there are no patterns identified  then the missing values can be substituted with mean or median values (imputation) or they can simply be ignored. Assigning a default value which can be mean  minimum or maximum value. Getting into the data is important. If it is a categorical variable  the default value is assigned. The missing value is assigned a default value. If you have a distribution of data coming  for normal distribution give the mean value. If 80% of the values for a variable are missing then you can answer that you would be dropping the variable instead of treating the missing values.
Ques_20,How will you define the number of clusters in a clustering algorithm?,Hard,A number of empirical approaches have been used to determine the number of clusters in a data set. They usually fit into two categories: Model fitting techniques: an example is using a mixture model to fit with your data  and determine the optimum number of components; or use density estimation techniques  and test for the number of modes (see here.) Sometimes  the fit is compared with that of a model where observations are uniformly distributed on the entire support domain  thus with no cluster; you may have to estimate the support domain in question  and assume that it is not  made of disjoint sub-domains; in many cases  the convex hull of your data set  as an estimate of the support domain  is good enough. Visual techniques: for instance  the silhouette or elbow rule (very popular.) In both cases  you need a criterion to determine the optimum number of clusters. In the case of the elbow rule  one typically uses the percentage of unexplained variance.
Ques_21,What do you mean by Deep Learning and Why has it become popular now?,Easy,Deep Learning is nothing but a paradigm of machine learning which has shown incredible promise in recent years. This is because of the fact that Deep Learning shows a great analogy with the functioning of the human brain. Now although Deep Learning has been around for many years  the major breakthroughs from these techniques came just in recent years. This is because of two main reasons: The increase in the amount of data generated through various sources The growth in hardware resources required to run these models GPUs are multiple times faster and they help us build bigger and deeper deep learning models in comparatively less time than we required previously
Ques_22,What are Artificial Neural Networks?,Easy,Artificial Neural networks are a specific set of algorithms that have revolutionized machine learning. They are inspired by biological neural networks. Neural Networks can adapt to changing input so the network generates the best possible result without needing to redesign the output criteria.
Ques_23,Describe the structure of Artificial Neural Networks?,Medium,Artificial Neural Networks works on the same principle as a biological Neural Network. It consists of inputs which get processed with weighted sums and Bias  with the help of Activation Functions.
Ques_24,Explain Gradient Descent.,Medium,To Understand Gradient Descent  Letâ€™s understand what is a Gradient first. A gradient measures how much the output of a function changes if you change the inputs a little bit. It simply measures the change in all weights with regard to the change in error. You can also think of a gradient as the slope of a function. Gradient Descent can be thought of climbing down to the bottom of a valley  instead of climbing up a hill.  This is because it is a minimization algorithm that minimizes a given function (Activation Function).
Ques_25,What is Back Propagation and Explain itâ€™s Working.,Hard,Backpropagation is a training algorithm used for multilayer neural network. In this method  we move the error from an end of the network to all weights inside the network and thus allowing efficient computation of the gradient. It has the following steps: 1. Forward Propagation of Training Data 2. Derivatives are computed using output and target 3. Back Propagate for computing derivative of error wrt output activation 4. Using previously calculated derivatives for output 5. Update the Weights
Ques_26,What are the variants of Back Propagation?,Hard,Stochastic Gradient Descent: We use only single training example for calculation of gradient and update parameters. Batch Gradient Descent: We calculate the gradient for the whole dataset and perform the update at each iteration. Mini-batch Gradient Descent: Itâ€™s one of the most popular optimization algorithms. Itâ€™s a variant of Stochastic Gradient Descent and here instead of single training example  mini-batch of samples is used.
Ques_27,What is the role of Activation Function?,Medium,The Activation function is used to introduce non-linearity into the neural network helping it to learn more complex function. Without which the neural network would be only able to learn linear function which is a linear combination of its input data. An activation function is a function in an artificial neuron that delivers an output based on inputs
Ques_28,What is an Auto-Encoder?,Hard,Autoencoders are simple learning networks that aim to transform inputs into outputs with the minimum possible error. This means that we want the output to be as close to input as possible. We add a couple of layers between the input and the output  and the sizes of these layers are smaller than the input layer. The autoencoder receives unlabeled input which is then encoded to reconstruct the input.
Ques_29,What is a Boltzmann Machine?,Hard,Boltzmann machines have a simple learning algorithm that allows them to discover interesting features that represent complex regularities in the training data. The Boltzmann machine is basically used to optimize the weights and the quantity for the given problem. The learning algorithm is very slow in networks with many layers of feature detectors. â€œRestricted Boltzmann Machinesâ€ algorithm has a single layer of feature detectors which makes it faster than the rest.
Ques_30,How is KNN different from k-means clustering?,Medium,K-Nearest Neighbors is a supervised classification algorithm  while k-means clustering is an unsupervised clustering algorithm. While the mechanisms may seem similar at first  what this really means is that in order for K-Nearest Neighbors to work  you need labeled data you want to classify an unlabeled point into (thus the nearest neighbor part). K-means clustering requires only a set of unlabeled points and a threshold: the algorithm will take unlabeled points and gradually learn how to cluster them into groups by computing the mean of the distance between different points. The critical difference here is that KNN needs labeled points and is thus supervised learning  while k-means doesnâ€™t â€” and is thus unsupervised learning.
Ques_31,Explain how a ROC curve works.,Hard,The ROC curve is a graphical representation of the contrast between true positive rates and the false positive rate at various thresholds. Itâ€™s often used as a proxy for the trade-off between the sensitivity of the model (true positives) vs the fall-out or the probability it will trigger a false alarm (false positives).
Ques_32,Why is â€œNaiveâ€ Bayes naive?,Medium,Despite its practical applications  especially in text mining  Naive Bayes is considered â€œNaiveâ€ because it makes an assumption that is virtually impossible to see in real-life data: the conditional probability is calculated as the pure product of the individual probabilities of components. This implies the absolute independence of features â€” a condition probably never met in real life.
Ques_33,Explain the difference between L1 and L2 regularization,Hard,L2 regularization tends to spread error among all the terms  while L1 is more binary/sparse  with many variables either being assigned a 1 or 0 in weighting. L1 corresponds to setting a Laplacean prior on the terms  while L2 corresponds to a Gaussian prior.
Ques_34,Whatâ€™s the difference between Type I and Type II error?,Medium,Type I error is a false positive  while Type II error is a false negative. Briefly stated  Type I error means claiming something has happened when it hasnâ€™t  while Type II error means that you claim nothing is happening when in fact something is. A clever way to think about this is to think of Type I error as telling a man he is pregnant  while Type II error means you tell a pregnant woman she isnâ€™t carrying a baby.
Ques_35,Whatâ€™s the difference between a generative and discriminative model?,Hard,A generative model will learn categories of data while a discriminative model will simply learn the distinction between different categories of data. Discriminative models will generally outperform generative models on classification tasks.
Ques_36,How is a decision tree pruned?,Medium,Pruning is what happens in decision trees when branches that have weak predictive power are removed in order to reduce the complexity of the model and increase the predictive accuracy of a decision tree model. Pruning can happen bottom-up and top-down  with approaches such as reduced error pruning and cost complexity pruning. Reduced error pruning is perhaps the simplest version: replace each node. If it doesnâ€™t decrease predictive accuracy  keep it pruned. While simple  this heuristic actually comes pretty close to an approach that would optimize for maximum accuracy.
Ques_37,How would you handle an imbalanced dataset?,Hard,An imbalanced dataset is when you have  for example  a classification test and 90% of the data is in one class. That leads to problems: an accuracy of 90% can be skewed if you have no predictive power on the other category of data! Here are a few tactics to get over the hump: 1- Collect more data to even the imbalances in the dataset. 2- Resample the dataset to correct for imbalances. 3- Try a different algorithm altogether on your dataset. Whatâ€™s important here is that you have a keen sense for what damage an unbalanced dataset can cause  and how to balance that.
Ques_38,Name an example where ensemble techniques might be useful.,Hard,Ensemble techniques use a combination of learning algorithms to optimize better predictive performance. They typically reduce overfitting in models and make the model more robust (unlikely to be influenced by small changes in the training data). You could list some examples of ensemble methods  from bagging to boosting to a â€œbucket of modelsâ€ method and demonstrate how they could increase predictive power.
Ques_39,What evaluation approaches would you work to gauge the effectiveness of a machine learning model?,Medium,You would first split the dataset into training and test sets  or perhaps use cross-validation techniques to further segment the dataset into composite sets of training and test sets within the data. You should then implement a choice selection of performance metrics: here is a fairly comprehensive list. You could use measures such as the F1 score  the accuracy  and the confusion matrix. Whatâ€™s important here is to demonstrate that you understand the nuances of how a model is measured and how to choose the right performance measures for the right situations.
Ques_40,Whatâ€™s the â€œkernel trickâ€ and how is it useful?,Medium,The Kernel trick involves kernel functions that can enable in higher-dimension spaces without explicitly calculating the coordinates of points within that dimension: instead  kernel functions compute the inner products between the images of all pairs of data in a feature space. This allows them the very useful attribute of calculating the coordinates of higher dimensions while being computationally cheaper than the explicit calculation of said coordinates. Many algorithms can be expressed in terms of inner products. Using the kernel trick enables us effectively run algorithms in a high-dimensional space with lower-dimensional data.
Ques_41,Do you have experience with Spark or big data tools for machine learning?,Medium,Youâ€™ll want to get familiar with the meaning of big data for different companies and the different tools theyâ€™ll want. Spark is the big data tool most in demand now  able to handle immense datasets with speed. Be honest if you donâ€™t have experience with the tools demanded  but also take a look at job descriptions and see what tools pop up: youâ€™ll want to invest in familiarizing yourself with them.
Ques_42,Pick an algorithm. Write the psuedo-code for a parallel implementation.,Medium,This kind of question demonstrates your ability to think in parallelism and how you could handle concurrency in programming implementations dealing with big data. Take a look at pseudocode frameworks such as Peril-L and visualization tools such as Web Sequence Diagrams to help you demonstrate your ability to write code that reflects parallelism.
Ques_43,How would you approach the â€œNetflix Prizeâ€ competition?,Medium,The Netflix Prize was a famed competition where Netflix offered $1 000 000 for a better collaborative filtering algorithm. The team that won called BellKor had a 10% improvement and used an ensemble of different methods to win. Some familiarity with the case and its solution will help demonstrate youâ€™ve paid attention to machine learning for a while.
Ques_44,How do you think Google is training data for self-driving cars?,Medium,In order to answer this question well  you will need to have knowledge in computer vision and deep learning. Basically building a self driving car comes down to 3 key tasks 1) Precise Localization 2) Obstacle Detection 3) Path Planning
Ques_45,What is the significance of TF-IDF?,Medium,Tf-idf stands for term frequency-inverse document frequency  and the tf-idf weight is a weight often used in information retrieval and text mining. This weight is a statistical measure used to evaluate how important a word is to a document in a collection or corpus. The importance increases proportionally to the number of times a word appears in the document but is offset by the frequency of the word in the corpus. Variations of the tf-idf weighting scheme are often used by search engines as a central tool in scoring and ranking a document's relevance given a user query. One of the simplest ranking functions is computed by summing the tf-idf for each query term; many more sophisticated ranking functions are variants of this simple model. Tf-idf can be successfully used for stop-words filtering in various subject fields including text summarization and classification.
Ques_46,What is latent semantic indexing? Where it is applied.,Hard,Latent semantic analysis (LSA) is a technique in natural language processing  in particular distributional semantics  of analyzing relationships between a set of documents and the terms they contain by producing a set of concepts related to the documents and terms. LSA assumes that words that are close in meaning will occur in similar pieces of text (the distributional hypothesis). A matrix containing word counts per document (rows represent unique words and columns represent each document) is constructed from a large piece of text and a mathematical technique called singular value decomposition (SVD) is used to reduce the number of rows while preserving the similarity structure among columns. Documents are then compared by taking the cosine of the angle between the two vectors (or the dot product between the normalizations of the two vectors) formed by any two columns. Values close to 1 represent very similar documents while values close to 0 represent very dissimilar documents
Ques_47,Explain dependency parsing in NLP?,Medium,Dependency Parsing is also known as Syntactic Parsing. It is the task of recognizing a sentence and assigning a syntactic structure to it. The most widely used syntactic structure is the parse tree which can be generated using some parsing algorithms. These parse trees are useful in various applications like grammar checking or more importantly it plays a critical role in the semantic analysis stage.
Ques_48,Explain the Masked Language Model?,Hard,Masked language modeling is an example of autoencoding language modeling (the output is reconstructed from corrupted input) - we typically mask one or more of words in a sentence and have the model predict those masked words given the other words in sentence. By training the model with such an objective  it can essentially learn certain (but not all) statistical properties of word sequences. BERT is a model that is trained on a masked language modeling objective.
Ques_49,There are several tagging using for processing natural languages. In all those tagging part of speech (POS)  tagging is one of the popular ones in our industry. Please explain in details about part of speech (POS) tagging  and how it can be used properly?,Medium,Part of speech tagger is a very interesting and most important tool for processing natural language with proper manner. This part of speech (POS) tagger is a normal tool or software which helps for reading some critical text independent of any languages  then assign entire sentence in part of speech for each word or some other tokenization logic define in the software  such as adjective  verb or noun etc. It is normally holding some specific algorithm which helps to label some of the terms in the entire text body. It has some varieties categories which are more complex than define above utility. The above define functionality is one of the very basic features of the POS tag.
Ques_50,There have some classification model define in NLP. What kind of features can be followed by NLP for improving accuracy in the classification model?,Medium,There have several classifications followed by NLP  explaining the same below: Counting frequency of define terms. Notation of vector for every sentence. Part of Speech (POS) tagging. Grammatical dependency or some define dictionary or library.
Ques_51,What is cryptography?,Easy,ryptography is a specialized area of cybersecurity  but it has a broad array of applications that we will examine later. Kaspersky Lab has defined it as follows: â€œCryptography is the study of secure communications techniques that allow only the sender and intended recipient of a message to view its contents. In addition  cryptography also covers the obfuscation of information in images using techniques such as microdots or merging.â€ 
Ques_52,What is encryption and decryption?,Easy,The terms â€œscramblingâ€ and â€œdescramblingâ€ are commonly known. In terms of decryption  scrambling and descrambling are also known as â€œencryptionâ€ and â€œdecryption.â€ For example: when the written message â€œI AM AWARE OF THE FACTâ€ is scrambled by the sending party  it becomes what is known as the â€œencrypted message.â€ This means that the written message has been disguised in such a manner that it would be totally meaningless  or in the terms of cryptography  it would be undecipherable. Encryption can also be described as conversion of information from a readable state to apparent nonsense. When the receiving party receives this encrypted written message  it must be unscrambled into an understandable and comprehensible state of context. This process of unscrambling is also known as decryption
Ques_53,What is ciphertext?,Easy,When the message is encrypted into a state which is totally incomprehensible and undecipherable  this is known as the ciphertext. So  to illustrate all of this  with the previous example  when the sending party creates the written message of â€œI LOVE YOUâ€  this is the plaintext or the cleartext. Once this message is encrypted into the format of â€œUYO I VEOLâ€ and while it is in transit  it becomes known as the ciphertext. Then  once the receiving party gets this ciphertext and then decrypts it into a comprehensible and understandable form of â€œI LOVE YOU â€ this message then becomes the plaintext or the cleartext again.
Ques_54,What is the difference between a private key and a public key?,Medium,  one of the main purposes of cryptography is to scramble forms of content and images into an undecipherable state. You may be wondering how this is all exactly done. The answer is that it primarily involves the use of a key. Traditionally  this is a private key. With this particular key  the sending party can encrypt the plaintext  and from there the content or image will be sent in its garbled state across the network medium to the receiving party. A private key is private to the sender or the receiver  while a public key may be available to a group.
Ques_55,What are symmetric and asymmetric key systems?,Medium,A symmetric key system uses only the private key  and the asymmetric key system makes use of both the public key and the private key. The latter used primarily in what is known as a Public Key Infrastructure  or PKI for short. It will be discussed in more detail later on.
Ques_56,What kinds of threats exist for a cryptographic system?,Medium,There are three traditional types of attacks  and they are as follows: Ciphertext-only attack: With this type of attack  only the ciphertext is known to the attacker. But if this particular individual is well-trained in statistics  then he or she can use various statistical techniques to break the ciphertext back into the plaintext Known-plaintext attack: This occurs when the hacker knows some aspect of either the letter pairings; thus  they can consequently crack the ciphertext back into the plaintext Chosen-plaintext attack: With this type of attack  the hacker can choose the plaintext and view the encrypted output which is being transmitted across the network medium. From this  they can reverse-engineer it back into its ciphertext form in an attempt to figure out the specific encryption scheme
Ques_57,What is polyalphabetic encryption?,Medium,A polyalphabetic cipher is simply a substitution cipher that uses multiple alphabets for substitution.
Ques_58,What is cipher block chaining?,Medium,The initialization vectors are part of a larger process known as cipher block chaining  or CBC. Within this methodology  multiple loops of encryption are created in order to further totally scramble the ciphertext. Here is the how the process works: The Initialization Vector is created first Through a mathematical process known as XOR (which stands for exclusive OR and is used quite frequently to determine if the bits of two strings of data match or not)  the first created Initialization Vector is XORâ€™d with the first block of ciphertext data The first chunk of data which has been XORâ€™d is further broken down by another layer of encryption This process is then continued until all of the blocks of ciphertext have been XORâ€™d and enveloped with another layer of encryption
Ques_59,How is a Key Distribution Center (KDC) used?,Medium,The Key Distribution Center consists of a database of all of the end users at the place of business or corporation and their respective passwords  as well other trusted servers and computers along the network.  If an end user wishes to communicate with another end user on a different computer system    the sending party enters their password into the KDC using a specialized software called â€œKerberos.â€ When the password is received by the KDC  the Kerberos then uses a special mathematical algorithm which adds the receiving partyâ€™s information and converts it over to a   cryptographic key.  Once this encrypted key has been established  the KDC then sets up and establishes other keys for the encryption of the communication session between the sending and the receiving party. These other keys are also referred to as tickets. These tickets will actually expire at a predetermined point in time in order to prevent unauthorized use  and it would also be rendered useless if it is stolen  hijacked or intercepted by a third party.
Ques_60,What are the mathematical algorithms used in symmetric cryptography?,Medium,They are as follows: The Needham-Schroder algorithm The Digital Encryption Standard algorithm (DES) The Triple Digit Encryption Standard algorithm (3DES) The International Data Encryption Algorithm (IDEA) The Advanced Encryption Standard algorithm (AES) 
Ques_61,What is asymmetric key cryptography?,Hard, asymmetric cryptography can be likened to that of a safety deposit box at a local bank. In this example  there are normally two set of keys used. One key is the one which the bank gives to you. This can be referred to as the public key  because it is used over and over again. The second key is the private key which the bank keeps in their possession at all times  and only the bank personnel know where it is kept. The world of asymmetric cryptography is just like this example  though of course  it is much more complex than this in practice.  Let us refer to the public key as â€œpkâ€ and the private key as â€œsk.â€ So  to represent both of these keys together  it would be mathematically demonstrated as (pk  sk). It is then the sending party which uses the public key (pk) to encrypt the message they wish to send to the receiving party  which then uses the private key (sk) to decrypt the ciphertext from the sending party.
Ques_62,What are the key differences between asymmetric and symmetric cryptography?,Hard,With symmetric cryptography  the complete secrecy of the key must be assured. Whereas asymmetric cryptography requires only half of the secrecy  namely that of the private key (sk). Secondly  symmetric cryptography utilizes the same secret key for the encryption and decryption of the ciphertext  but in asymmetric cryptography two different keys (namely the public and the private keys) are used for the encryption and the decryption of the ciphertext. 
Ques_63,What is the Public Key Infrastructure (PKI)?,Hard,The PKI consists of the following components: The Certificate Authority (CA): This is the party who issues the digital certificates The Digital Certificate: This serves to verify the identity of the certificate holder and is issued by the CA. These digital certificates are typically kept in the local computer of the employee  or even the central server at the place of business or organization The LDAP or X.500 Directories: These are the databases which collect and distribute the digital certificates from the CA The Registration Authority (RA): If the place of business or organization is very large (such as a multinational corporation)  this entity usually handles and processes the requests for the required digital certificates and then transmits those requests to the CA to process and create the required digital certificates
Ques_64,What is the LDAP protocol and how is it used in a Public Key Infrastructure (PKI)?,Hard,LDAP is an acronym which stands for Lightweight Directory Access Protocol. This is a database protocol used for the updating and searching of the directories which run over the TCP/IP network protocol (this is the network protocol which is primarily used by the PKI infrastructure). It is the job of the LDAP server of the Public Key Infrastructure to contain information and data as it relates to the digital certificates and the public and the private key storage locations  as well as the matching public and private key labels. The Certificate Authority uses a combination of the end user name and the matching tags to specifically locate the digital certificates on the LDAP server. From that point onwards  the LDAP server checks to see if the requested digital certificate is valid or not  and it if it is valid  it then retrieves a digital certificate which can then be sent to the end user.  Although all digital certificates have a finite lifespan when they are first issued  they can also be revoked for any reason at any time by the Public Key Infrastructure Administrator.
Ques_65,What are the security vulnerabilities of hashing functions?,Hard,One major security vulnerability of using hashes is that they can be altered while it is en route. In other words  a cyber-attacker can intercept the ciphertext and its associated hash  alter both and create a brand-new ciphertext and hash.  As a result  the receiving party is fooled into believing that this new  altered ciphertext and new  altered hash are the original sent by the sending party while the cyber-attacker keeps the actual ciphertext and hash which was generated the first time around. To fix this  the ciphertext is combined with a â€œsecret keyâ€ at the point of origination first  then the hash is created. As a result  this hash will contain specific information and data about the secret itself. As a result  the receiving party can even be further convinced that the ciphertext they have received is the original one sent by the sending party. This is so because even if the ciphertext  the hash and the associated secret key were to be intercepted  there is very little that a hacker can do to alter the ciphertext and its associated hash. This is because they have to have the information and data about the secret key  which is of course something they will never gain access to.
Ques_66,What Is Scan Conversion?,Easy,A major task of the display processor is digitizing a picture definition given in an application program into a set of pixel-intensity values for storage in the frame buffer. This digitization process is called scan conversion.
Ques_67,What Is Rasterization?,Easy,The process of determining the appropriate pixels for representing picture or graphics object is known as rasterization.
Ques_68,What Are The Raster And Vector Graphics?,Medium, The Raster and Vector graphics can be explained as- RASTER- In computer graphics image  or BITMAP  is a dot matrix data structure representing a generally rectangular grid of pixels or points of color  viewable via a monitor  paper  or other display medium. Raster image are stored in image files with varying formats. VECTOR- Vector graphics is the use of geometrical primitives such as points  lines  curves  and shapes or polygon  which are all based on mathematical expressions  to represent image in computer graphics. â€œVectorâ€  in this context  implies more than a straight line.
Ques_69,What Is Scaling In Computer Graphics?,Medium, In computer graphic  image scaling is the process of resizing a digital image. scaling is a non-trivial process that involves a trade off between efficiency  smoothness and sharpness. With bitmap graphics  as the size of an image is reduced or enlarged  the pixels which comprise the image become increasingly visible  making the image appear â€œsoftâ€ if pixels are averaged  or jagged if not.
Ques_70,Define Aspect Ratio?,Medium,Aspect ratio is the ratio of the vertical points to horizontal points essential to produce equivalent length line in both direction on the screen. An aspect ratio of 3/4 defines that a vertical line plotted with three points has the same length as a horizontal lines plotted with four points.
Ques_71,What is the need for space partitioning representation?,Medium,Space partitioning representations are used to define interior methods  by partitioning the spatial domain including an object into a set of small non-overlapping  and contiguous solids. A common space partitioning description for a three object is an octree representation.
Ques_72,What is critical fusion frequency?,Hard,Frequency of light simulation at which it becomes perceived as a stable  continuous sensation. The frequency depends upon various factors like luminance  color  contrast  etc.
